circular	auto	sex	NCBI	UCSC	Ensembl
FALSE	TRUE	FALSE	NW_020824123.1	picr_914	picr_914
FALSE	TRUE	FALSE	NW_020824124.1	picr_915	picr_915
FALSE	TRUE	FALSE	NW_020824125.1	picr_916	picr_916
FALSE	TRUE	FALSE	NW_020824126.1	picr_917	picr_917
FALSE	TRUE	FALSE	NW_020824127.1	picr_918	picr_918
FALSE	TRUE	FALSE	NW_020824128.1	picr_919	picr_919
FALSE	TRUE	FALSE	NW_020824129.1	picr_922	picr_922
FALSE	TRUE	FALSE	NW_020824130.1	picr_924	picr_924
FALSE	TRUE	FALSE	NW_020824131.1	picr_925	picr_925
FALSE	TRUE	FALSE	NW_020824132.1	picr_926	picr_926
FALSE	TRUE	FALSE	NW_020824133.1	picr_927	picr_927
FALSE	TRUE	FALSE	NW_020824134.1	picr_928	picr_928
FALSE	TRUE	FALSE	NW_020824135.1	picr_929	picr_929
FALSE	TRUE	FALSE	NW_020824136.1	picr_930	picr_930
FALSE	TRUE	FALSE	NW_020824137.1	picr_931	picr_931
FALSE	TRUE	FALSE	NW_020824138.1	picr_932	picr_932
FALSE	TRUE	FALSE	NW_020824139.1	picr_933	picr_933
FALSE	TRUE	FALSE	NW_020824140.1	picr_935	picr_935
FALSE	TRUE	FALSE	NW_020824141.1	picr_936	picr_936
FALSE	TRUE	FALSE	NW_020824142.1	picr_937	picr_937
FALSE	TRUE	FALSE	NW_020824143.1	picr_938	picr_938
FALSE	TRUE	FALSE	NW_020824144.1	picr_939	picr_939
FALSE	TRUE	FALSE	NW_020824145.1	picr_940	picr_940
FALSE	TRUE	FALSE	NW_020824146.1	picr_941	picr_941
FALSE	TRUE	FALSE	NW_020824147.1	picr_942	picr_942
FALSE	TRUE	FALSE	NW_020824148.1	picr_943	picr_943
FALSE	TRUE	FALSE	NW_020824149.1	picr_944	picr_944
FALSE	TRUE	FALSE	NW_020824150.1	picr_945	picr_945
FALSE	TRUE	FALSE	NW_020824151.1	picr_946	picr_946
FALSE	TRUE	FALSE	NW_020824152.1	picr_947	picr_947
FALSE	TRUE	FALSE	NW_020824153.1	picr_950	picr_950
FALSE	TRUE	FALSE	NW_020824154.1	picr_951	picr_951
